"job_id","job_title","job_location","name","salary_year_avg","job_schedule_type","job_posted_date"
182813,"Principal Data Analyst","Anywhere","Get It Recruit - Information Technology","160000.0","Full-time","2023-10-13 09:00:52"
783771,"SQL DEVELOPER / DATA ANALYST (Insurance industry Experience) ...","Anywhere","Robert Half","160000.0","Full-time","2023-01-30 02:02:22"
475626,"Principal Data Analyst","Anywhere","Realtime Recruitment","160000.0","Full-time","2023-02-02 14:16:03"
266799,"Applied Scientist - Maps","Anywhere","Uber","157500.0","Full-time","2023-10-13 07:03:27"
485388,"System Data Analyst","Anywhere","Edgewater Federal Solutions, Inc.","157500.0","","2023-07-17 18:00:47"
25761,"Data Analyst - Remote","Anywhere","CaptivateIQ","155485.5","Full-time","2023-09-01 16:41:57"
105157,"Lead Data Analyst","Anywhere","Motion Recruitment","155000.0","Full-time","2023-01-05 08:00:45"
795614,"Staff Business Data Analyst (Remote U.S. OK)","Anywhere","Zscaler","152625.0","Full-time","2023-03-11 07:01:56"
565646,"Staff Business Data Analyst (Remote U.S. OK)","Anywhere","Zscaler","152625.0","Full-time","2023-03-07 07:01:47"
540057,"Lead Data Analyst, Growth (Remote)","Anywhere","Rocket Money","152500.0","Full-time","2023-03-24 07:00:42"
72957,"Management & Program Analyst (Data Analytics)","Anywhere","US Patent and Trademark Office","152221.5","Full-time and Part-time","2023-09-11 16:00:30"
456042,"Data Analyst","Anywhere","Get It Recruit - Healthcare","151500.0","Full-time","2023-09-25 10:59:56"
591850,"Mid-Level Data BI Analyst","Anywhere","Patterned Learning AI","150000.0","Full-time","2023-07-17 07:03:43"
73304,"Mid-Level Data Analyst","Anywhere","Patterned Learning AI","150000.0","Full-time","2023-07-05 07:01:08"
1402149,"Lead Data Analyst - Retirement Product Management","Anywhere","Edward Jones","148238.5","Full-time","2023-05-09 10:04:46"
1694004,"Manager - Data Analyst","Anywhere","EXL Service","147285.0","Full-time","2023-10-23 07:00:06"
712558,"Data Scientist Analyst","Anywhere","ALTA IT Services","145000.0","Full-time","2023-02-13 17:13:26"
479485,"Data Analyst","Anywhere","Level","145000.0","Full-time","2023-03-15 16:59:55"
1329162,"Data Analyst - up to 160K+","Anywhere","Hire With Jarvis","145000.0","Full-time","2023-04-18 17:59:59"
405581,"Data Analyst","Anywhere","CyberCoders","145000.0","Full-time","2023-05-01 13:00:20"
1275642,"Lead Data Analyst","Anywhere","Edward Jones","144481.5","Full-time","2023-01-28 11:00:40"
149006,"People Data Analyst","Anywhere","Insight Global","140500.0","Full-time","2023-07-31 15:05:01"
1090975,"Data Analyst","Anywhere","Uber","140500.0","Full-time","2023-03-24 07:06:43"
1049000,"Sr. Data Analyst","Anywhere","Sisense","140000.0","Full-time","2023-07-17 22:00:04"
762220,"Qlik/Power BI Data Analyst | $130K-$150K + ESOP |100% USA-Remote","Anywhere","IT Pros","140000.0","Full-time","2023-01-03 04:00:05"
208403,"Data Manager","Anywhere","Insight Global","140000.0","Full-time","2023-01-26 16:01:53"
1392859,"Product Data Analyst","Anywhere","Motion Recruitment","140000.0","Full-time","2023-02-14 08:00:35"
1300702,"Data Analyst (Product Data Analyst)","Anywhere","Revolut","139000.0","Full-time","2023-08-04 21:57:48"
388392,"Digital Marketing Data Analyst (Hybrid)","Anywhere","United Services Automobile Association","138640.0","Full-time","2023-08-13 07:01:06"
1482852,"Data Analyst","Anywhere","Overmind","138500.0","Full-time","2023-11-23 12:38:59"
